reat_s2,ebitaat_s2,wcat_s2,niat_s2,cr_s2
.051661,.0543779,.0371087,.0552934,-.082692
.0380114,.0412617,.0320405,.0355418,-.0925278
.0517298,.0740379,.0365293,.0644651,-.0917652
.0483981,.0754946,.0342456,.0709529,-.0925391
.0506215,.0692844,.031637,.0591013,-.0928029
.0507024,.0734085,.0386008,.0669026,-.071302
.0489658,.053078,.0389293,.0489688,-.0886158
.0505179,.0638514,.0367284,.0488444,-.076085
.0293056,-.0562651,.0345955,-.0541704,-.0883067
.047275,.0453855,.0305016,-.0002477,-.0825092
.0514312,.0731681,.0354376,.0519902,-.0927742
.0504011,.07232,.0371584,.0588886,-.0814198
.0493255,.0288804,.0412432,.0394933,-.0883561
.0218509,-.09066,.0162048,-.0745881,-.0929212
.0514546,.0736899,.0370012,.0679514,-.0818257
.0440937,-.0255119,.0356478,.0016542,-.0920822
.0488972,-.0438646,.0370786,.0920821,-.0873422
.0466335,.0188107,.0395984,-.0237389,-.0910135
.0508111,.0584042,.0375588,.0597096,-.0913402
.0511811,.0715544,.0388844,.0655477,-.0916912
.0504944,.0695775,.0366724,.060473,-.0905905
.0502598,.0790578,.0361252,.0684202,-.0904993
-.0046024,-3.14719,-.015273,-2.142458,-.0928523
.0513719,.0555125,.0373076,.0575124,-.0887912
.0509674,.0824192,.0371343,.0694907,-.0907417
.0512336,.0697821,.034697,.0664668,-.0929088
.0508153,.0758789,.0370632,.0386389,-.0904624
.038597,.0727514,.0356735,.0637077,-.0922385
.0518618,.0778237,.0368674,.0680526,-.065249
.0506222,.073423,.0364535,.0694774,-.0919695
.0493943,.075288,.0363743,.0646737,-.0910921
.0460811,.0598028,.0251961,.0535185,-.0929288
.0494623,.0762439,.0375475,.0696891,-.0920796
.0509754,.075076,.0396551,.0631197,-.0677018
.0509279,.0707235,.0360957,.0622995,-.0906419
.051516,.077301,.0362376,.068878,-.0920956
.050237,.0706466,.0370928,.0633882,-.0825677
.0506784,.0778552,.03355,.051046,-.0927782
.0510993,.0692083,.0368512,.0641975,-.0710444
.0507592,.0741576,.0365994,.0668902,-.0912007
.0509577,.0733016,.0401213,.0679349,-.0912471
.0514683,.0778858,.03658,.0710579,.104703
.0518841,.0701694,.034417,.0652923,-.0928306
.0515906,.0730538,.0335534,.0693666,-.0928656
.0510968,.0752249,.037226,.0672876,-.0854151
.0490429,.0583571,.0345841,.0586783,-.0927183
.0517089,.0740302,.037022,.0683127,-.0573202
.0510502,.0732441,.0402392,.066978,-.024366
.0507664,.0484523,.0374906,.0470923,-.0906372
.010499,-.1765593,.0220992,-.1380378,-.0925052
.0507334,.0755999,.0367519,.0576572,-.0892159
.0501604,.0563967,.036414,.0436393,-.0897897
.0508221,.0755889,.0365976,.0669924,-.0923919
.0513914,.0735551,.0370003,.0677935,-.0896532
.050828,.0674736,.032901,.0557194,-.0928018
.0509023,.0761654,.0362241,.070086,-.0778178
.0506005,.0510552,.0370991,.0536716,-.0900786
.0498737,.0632039,.0362369,.0534809,-.0902228
.0475984,.0366336,.0381449,.0436736,-.0914033
.0509971,.0709723,.0354438,.0583193,-.0887493
.0498351,.060884,.0358502,.0621522,-.0925072
.0468488,.0139101,.0365846,.0245846,-.0858781
.0514349,.073913,.0367873,.0671498,-.0859258
.0508778,.0777109,.0359985,.0671656,-.092503
